5-amino-1-(5-phospho-D-ribosyl)imidazole
UDP-N-acetyl-3-O-(1-carboxyvinyl)-D-glucosamine
L-Citrulline
3-Dehydroshikimate
Oxaloacetate
2_Phenylacetamide_C8H9NO
L-Arginine
Hydrogen_peroxide
Glycine
L-Alanine
Nitric_oxide
Nicotinamide_adenine_dinucleotide_-_reduced
L-Phenylalanine
DGMP_C10H12N5O7P
DTDP_C10H13N2O11P2
Pantetheine_4'-phosphate
Acetate
N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide
3-Phosphohydroxypyruvate
Guanine
DGTP_C10H12N5O13P3
D-Glucose_1-phosphate
Coproporphyrinogen_III
ADP-L-glycero-D-manno-heptose-7-phosphate
ADP_C10H12N5O10P2
3'-Phosphoadenylyl_sulfate
D-Ribulose_5-phosphate
Acetoacetyl-CoA
O_Acetyl_L_homoserine_C6H11NO4
Nicotinamide_adenine_dinucleotide_phosphate_-_reduced
Fe2+_mitochondria
2-Deoxy-D-ribose_5-phosphate
"Adenosine_3',5'-bisphosphate"
Coproporphyrinogen_I
Hypoxanthine
Sulfite
4-Methyl-5-(2-hydroxyethyl)-thiazole
Inosine
L-Serine
"Meso-2,6-Diaminoheptanedioate"
Cys_Gly_C5H10N2O3S
Adenine
2_5_Diamino_6_hydroxy_4__5__phosphoribosylamino__pyrimidine_C9H14N5O8P
Alpha-D-Ribose_5-phosphate
Glycine
Cytidine
L-Isoleucine
DUDP_C9H11N2O11P2
Dethiobiotin
5-Amino-4-oxopentanoate
L_erythro_4_Hydroxyglutamate_C5H8NO5
Isochorismate
"5,10-Methenyltetrahydrofolate"
Nicotinate_D-ribonucleotide
O-Succinyl-L-homoserine
"2,3-Dihydrodipicolinate"
L-Glutamate
Phosphate
Phosphatidylserine_Hp_specific
R-3-hydroxypalmitoyl-[acyl-carrier_protein]
5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide
All-trans-Octaprenyl_diphosphate
D-Fructose_1-phosphate
"2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate"
Xanthine
L-Asparagine
D-Xylulose_5-phosphate
"7,8-Diaminononanoate"
L-Histidine
Acrylamide
D-Glycero-D-manno-heptose_7-phosphate
GDP-L-fucose
Fumarate
Phosphatidylethanolamine_Hp_specific
Malonyl_CoA_C24H33N7O19P3S
Acetoacetyl-ACP
O-Phospho-L-serine
D-Serine
Myristoyl-ACP_(n-C14:0ACP)
DCTP_C9H12N3O13P3
2-C-methyl-D-erythritol_4-phosphate
1-hydroxy-2-methyl-2-(E)-butenyl_4-diphosphate
"7,8-Dihydrofolate"
Chorismate
Beta-Alanine
L-Threonine
Nitrate
Sulfate
CMP-3-deoxy-D-manno-octulosonate
"LL-2,6-Diaminoheptanedioate"
Phosphate
5-phosphoribosyl-5-carboxyaminoimidazole
L-Methionine
Pyruvate
Glycerol
L-Tyrosine
H2O_H2O
Protoheme_C34H30FeN4O4
Acetyl-CoA
Reduced_glutathione
Phosphatidic_acid_Hp_specific
UDP-2(3-hydroxyoctadecanoyl)-3(3-hydroxypalmetoyl)glucosamine
Citrate
L-Glutamine
DCDP_C9H12N3O10P2
Dimethylallyl_diphosphate
Dihydroneopterin
O2_O2
N-((R)-4-Phosphopantothenoyl)-L-cysteine
DTMP_C10H13N2O8P
L-Homocysteine
L-Threonine
3-(4-Hydroxyphenyl)pyruvate
2-keto-4-methylthiobutyrate
D-Lactate
GDP-4-dehydro-6-deoxy-D-mannose
Octadecanoyl-ACP_(n-C18:0ACP)
D-Glutamate
Cis-octadec-11-enoyl-[acyl-carrier_protein]_(n-C18:1)
Acetaldehyde
Nitrate
5-Amino-6-(5'-phosphoribosylamino)uracil
L-Serine
L-Aspartate
Deoxycytidine
DADP_C10H12N5O9P2
Deamino-NAD+
Iron_(Fe3+)
L-Aspartate_4-semialdehyde
2-Demethylmenaquinone_6
Undecaprenyl_phosphate
