Source,Target,Type
AlphacDcRibose_hcphosphate_c,rx_59,Directed
rx_59,DcRibulose_hcphosphate_c,Directed
Hf_e,rx_60,Directed
NcAcetylneuraminate_e,rx_60,Directed
rx_60,Hf_c,Directed
rx_60,NcAcetylneuraminate_c,Directed
DcGlucosamine_hcphosphate_c,rx_61,Directed
HhO_HhO_c,rx_61,Directed
rx_61,Ammonium_c,Directed
rx_61,DcFructose_hcphosphate_c,Directed
Riboflavin_ChhHhhNhOh_c,rx_62,Directed
ATP_ChhHhhNhOhhPh_c,rx_62,Directed
rx_62,Hf_c,Directed
rx_62,FMN_ChhHhhNhOhP_c,Directed
rx_62,ADP_ChhHhhNhOhhPh_c,Directed
Hf_c,rx_63,Directed
ATP_ChhHhhNhOhhPh_c,rx_63,Directed
Nicotinate_Dcribonucleotide_c,rx_63,Directed
rx_63,Diphosphate_c,Directed
rx_63,DeaminocNADf_c,Directed
Pyridoxal_e,rx_64,Directed
rx_64,Pyridoxal_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_65,Directed
Adenosine_c,rx_65,Directed
rx_65,Hf_c,Directed
rx_65,AMP_ChhHhhNhOhP_c,Directed
rx_65,ADP_ChhHhhNhOhhPh_c,Directed
LcCysteine_c,rx_66,Directed
ATP_ChhHhhNhOhhPh_c,rx_66,Directed
LcGlutamate_c,rx_66,Directed
rx_66,Hf_c,Directed
rx_66,GammacLcGlutamylcLccysteine_c,Directed
rx_66,ADP_ChhHhhNhOhhPh_c,Directed
rx_66,Phosphate_c,Directed
N_Ribosylnicotinamide_ChhHhhNhOh_c,rx_67,Directed
Phosphate_c,rx_67,Directed
rx_67,Hf_c,Directed
rx_67,Nicotinamide_c,Directed
rx_67,AlphacDcRibose_hcphosphate_c,Directed
UTP_ChHhhNhOhhPh_c,rx_68,Directed
Hf_c,rx_68,Directed
DcGlucose_hcphosphate_c,rx_68,Directed
rx_68,Diphosphate_c,Directed
rx_68,UDPglucose_c,Directed
Oxidized_glutathione_e,rx_69,Directed
Phosphate_e,rx_70,Directed
Chloride_e,rx_71,Directed
Potassium_e,rx_71,Directed
rx_71,Chloride_c,Directed
rx_71,Potassium_c,Directed
DcMannose_e,rx_72,Directed
rx_72,DcMannose_c,Directed
HhO_HhO_e,rx_73,Directed
rx_73,HhO_HhO_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_74,Directed
Ethanolamine_c,rx_74,Directed
rx_74,Hf_c,Directed
rx_74,Ethanolamine_phosphate_ChHhNOhP_c,Directed
rx_74,ADP_ChhHhhNhOhhPh_c,Directed
COh_COh_e,rx_75,Directed
DcMannose_hcphosphate_c,rx_76,Directed
rx_76,DcFructose_hcphosphate_c,Directed
Putrescine_c,rx_77,Directed
rx_77,Putrescine_e,Directed
DcGlucose_e,rx_78,Directed
rx_78,DcGlucose_c,Directed
Bicarbonate_c,rx_79,Directed
Bilirubin_monoglucuronide_e,rx_79,Directed
rx_79,Bilirubin_monoglucuronide_c,Directed
rx_79,Bicarbonate_e,Directed
Dihydroxyacetone_phosphate_c,rx_80,Directed
rx_80,Methylglyoxal_c,Directed
rx_80,Phosphate_c,Directed
Dehydroascorbate_e,rx_81,Directed
Spermidine_e,rx_82,Directed
ATP_ChhHhhNhOhhPh_c,rx_83,Directed
UDP_ChHhhNhOhhPh_c,rx_83,Directed
rx_83,UTP_ChHhhNhOhhPh_c,Directed
rx_83,ADP_ChhHhhNhOhhPh_c,Directed
Carbon_monoxide_e,rx_84,Directed
Pyruvate_e,rx_85,Directed
ATP_ChhHhhNhOhhPh_c,rx_86,Directed
Calcium_c,rx_86,Directed
HhO_HhO_c,rx_86,Directed
rx_86,Hf_e,Directed
rx_86,Calcium_e,Directed
rx_86,ADP_ChhHhhNhOhhPh_c,Directed
rx_86,Phosphate_c,Directed
LcLactate_c,rx_87,Directed
Nicotinamide_adenine_dinucleotide_c,rx_87,Directed
rx_87,Pyruvate_c,Directed
rx_87,Hf_c,Directed
rx_87,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
DcGlucose_c,rx_88,Directed
Hf_c,rx_88,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,rx_88,Directed
rx_88,Nicotinamide_adenine_dinucleotide_phosphate_c,Directed
rx_88,DcSorbitol_c,Directed
LcMethionine_c,rx_89,Directed
ATP_ChhHhhNhOhhPh_c,rx_89,Directed
HhO_HhO_c,rx_89,Directed
rx_89,Diphosphate_c,Directed
rx_89,ScAdenosylcLcmethionine_c,Directed
rx_89,Phosphate_c,Directed
Adrenaline_e,rx_90,Directed
rx_90,Adrenaline_c,Directed
Phosphoenolpyruvate_c,rx_91,Directed
Hf_c,rx_91,Directed
ADP_ChhHhhNhOhhPh_c,rx_91,Directed
rx_91,Pyruvate_c,Directed
rx_91,ATP_ChhHhhNhOhhPh_c,Directed
DcGlycerate_hcphosphate_c,rx_92,Directed
rx_92,Phosphoenolpyruvate_c,Directed
rx_92,HhO_HhO_c,Directed
Sodium_e,rx_93,Directed
LcGlutamine_e,rx_93,Directed
rx_93,Sodium_c,Directed
rx_93,LcGlutamine_c,Directed
Hf_e,rx_94,Directed
rx_94,Hf_c,Directed
FMN_ChhHhhNhOhP_c,rx_95,Directed
HhO_HhO_c,rx_95,Directed
rx_95,Riboflavin_ChhHhhNhOh_c,Directed
rx_95,Phosphate_c,Directed
Dopamine_e,rx_96,Directed
Choline_phosphate_ChHhhNOhP_c,rx_97,Directed
HhO_HhO_c,rx_97,Directed
rx_97,Choline_ChHhhNO_c,Directed
rx_97,Phosphate_c,Directed
DcFructose_hghcbisphosphate_c,rx_98,Directed
rx_98,Dihydroxyacetone_phosphate_c,Directed
rx_98,Glyceraldehyde_hcphosphate_c,Directed
Thiamin_monophosphate_e,rx_99,Directed
rx_99,Thiamin_monophosphate_c,Directed
_hcMethylthioadenosine_c,rx_100,Directed
Phosphate_c,rx_100,Directed
rx_100,_hcMethylthiochcdeoxycDcribose_hcphosphate_c,Directed
rx_100,Adenine_c,Directed
NcAcetylcDcglucosamine_c,rx_101,Directed
rx_101,NcAcetylcDcmannosamine_c,Directed
GMP_ChhHhhNhOhP_c,rx_102,Directed
HhO_HhO_c,rx_102,Directed
rx_102,Guanosine_c,Directed
rx_102,Phosphate_c,Directed
_highicCyclic_GMP_e,rx_103,Directed
NMN_ChhHhhNhOhP_c,rx_104,Directed
HhO_HhO_c,rx_104,Directed
rx_104,N_Ribosylnicotinamide_ChhHhhNhOh_c,Directed
rx_104,Phosphate_c,Directed
NcAcetylneuraminate_c,rx_105,Directed
rx_105,Pyruvate_c,Directed
rx_105,NcAcetylcDcmannosamine_c,Directed
Nicotinamide_adenine_dinucleotide_c,rx_106,Directed
IMP_ChhHhhNhOhP_c,rx_106,Directed
HhO_HhO_c,rx_106,Directed
rx_106,Hf_c,Directed
rx_106,Xanthosine_hicphosphate_c,Directed
rx_106,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
Potassium_e,rx_107,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c,rx_108,Directed
HhO_HhO_c,rx_108,Directed
rx_108,Hf_c,Directed
rx_108,Nicotinamide_c,Directed
rx_108,ADPribose_hicphosphate_c,Directed
_hcAminochcoxopentanoate_c,rx_109,Directed
rx_109,Hf_c,Directed
rx_109,Porphobilinogen_c,Directed
rx_109,HhO_HhO_c,Directed
Oh_Oh_c,rx_110,Directed
Pyridoxamine_hicphosphate_c,rx_110,Directed
HhO_HhO_c,rx_110,Directed
rx_110,Ammonium_c,Directed
rx_110,Hydrogen_peroxide_c,Directed
rx_110,Pyridoxal_hicphosphate_c,Directed
Thiamine_diphosphate_c,rx_111,Directed
HhO_HhO_c,rx_111,Directed
rx_111,Hf_c,Directed
rx_111,Thiamin_monophosphate_c,Directed
rx_111,Phosphate_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_112,Directed
Thiamin_c,rx_112,Directed
rx_112,Hf_c,Directed
rx_112,AMP_ChhHhhNhOhP_c,Directed
rx_112,Thiamine_diphosphate_c,Directed
Phosphoenolpyruvate_c,rx_113,Directed
NcAcetylcDcmannosamine_hcphosphate_c,rx_113,Directed
HhO_HhO_c,rx_113,Directed
rx_113,NcAcetylneuraminate_hcphosphate_c,Directed
rx_113,Phosphate_c,Directed
Methylglyoxal_c,rx_114,Directed
Reduced_glutathione_c,rx_114,Directed
rx_114,dRecScLactoylglutathione_c,Directed
Hf_c,rx_115,Directed
DcGlucuronate_c,rx_115,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,rx_115,Directed
rx_115,Lcgulonate_c,Directed
rx_115,Nicotinamide_adenine_dinucleotide_phosphate_c,Directed
Hf_c,rx_116,Directed
UDPcDcglucuronate_c,rx_116,Directed
Bilirubin_cytosol_c,rx_116,Directed
rx_116,Bilirubin_monoglucuronide_c,Directed
rx_116,UDP_ChHhhNhOhhPh_c,Directed
Chloride_e,rx_117,Directed
DcGlucosamine_e,rx_118,Directed
PhgPhcBisdhicadenosyle_tetraphosphate_c,rx_119,Directed
HhO_HhO_c,rx_119,Directed
rx_119,Hf_c,Directed
rx_119,ATP_ChhHhhNhOhhPh_c,Directed
rx_119,AMP_ChhHhhNhOhP_c,Directed
UTP_ChHhhNhOhhPh_c,rx_120,Directed
AlphacDcGalactose_hcphosphate_c,rx_120,Directed
Hf_c,rx_120,Directed
rx_120,Diphosphate_c,Directed
rx_120,UDPgalactose_c,Directed
DcRibulose_hcphosphate_c,rx_121,Directed
rx_121,DcXylulose_hcphosphate_c,Directed
Thiamin_e,rx_122,Directed
ATP_ChhHhhNhOhhPh_c,rx_123,Directed
DcGalactose_c,rx_123,Directed
rx_123,AlphacDcGalactose_hcphosphate_c,Directed
rx_123,Hf_c,Directed
rx_123,ADP_ChhHhhNhOhhPh_c,Directed
Leukotriene_Bhdhce_e,rx_124,Directed
rx_124,Leukotriene_Bhdhce_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_125,Directed
rx_125,Diphosphate_c,Directed
rx_125,CAMP_ChhHhhNhOhP_c,Directed
Urea_CHhNhO_e,rx_126,Directed
rx_126,Urea_CHhNhO_c,Directed
DcGlucosamine_e,rx_127,Directed
rx_127,DcGlucosamine_c,Directed
Hf_c,rx_128,Directed
Oxidized_glutathione_c,rx_128,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,rx_128,Directed
rx_128,Nicotinamide_adenine_dinucleotide_phosphate_c,Directed
rx_128,Reduced_glutathione_c,Directed
_hcPyridoxate_e,rx_129,Directed
Sodium_e,rx_130,Directed
LcAlanine_e,rx_130,Directed
rx_130,Sodium_c,Directed
rx_130,LcAlanine_c,Directed
_hcPhosphocalphacDcribose_hcdiphosphate_c,rx_131,Directed
Hypoxanthine_c,rx_131,Directed
rx_131,Diphosphate_c,Directed
rx_131,IMP_ChhHhhNhOhP_c,Directed
Norepinephrine_e,rx_132,Directed
Hydroxymethylbilane_c,rx_133,Directed
rx_133,Uroporphyrinogen_III_c,Directed
rx_133,HhO_HhO_c,Directed
LcMethionine_e,rx_134,Directed
rx_134,LcMethionine_c,Directed
Calcium_e,rx_135,Directed
rx_135,Calcium_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_136,Directed
Metanephrine_c,rx_136,Directed
HhO_HhO_c,rx_136,Directed
rx_136,Hf_c,Directed
rx_136,ADP_ChhHhhNhOhhPh_c,Directed
rx_136,Phosphate_c,Directed
rx_136,Metanephrine_e,Directed
DcGlucose_hcphosphate_c,rx_137,Directed
rx_137,DcGlucose_hcphosphate_c,Directed
DcFructose_e,rx_138,Directed
rx_138,DcFructose_c,Directed
_hDcmyocInositol_hghghctrisphosphate_c,rx_139,Directed
Dehydroascorbate_c,rx_140,Directed
Reduced_glutathione_c,rx_140,Directed
rx_140,LcAscorbate_c,Directed
rx_140,Oxidized_glutathione_c,Directed
Guanosine_c,rx_141,Directed
Phosphate_c,rx_141,Directed
rx_141,AlphacDcRibose_hcphosphate_c,Directed
rx_141,Guanine_c,Directed
DcGlucose_e,rx_142,Directed
Nicotinamide_adenine_dinucleotide_c,rx_143,Directed
HhO_HhO_c,rx_143,Directed
Acetaldehyde_c,rx_143,Directed
rx_143,Hf_c,Directed
rx_143,Acetate_c,Directed
rx_143,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
Inosine_e,rx_144,Directed
ATP_ChhHhhNhOhhPh_c,rx_145,Directed
Sodium_c,rx_145,Directed
Potassium_e,rx_145,Directed
HhO_HhO_c,rx_145,Directed
rx_145,Sodium_e,Directed
rx_145,Hf_c,Directed
rx_145,ADP_ChhHhhNhOhhPh_c,Directed
rx_145,Phosphate_c,Directed
rx_145,Potassium_c,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c,rx_146,Directed
Isocitrate_c,rx_146,Directed
rx_146,_hcOxoglutarate_c,Directed
rx_146,Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,Directed
rx_146,COh_COh_c_sink,Directed
LcGlutamate_c,rx_147,Directed
_hcketochcmethylthiobutyrate_c,rx_147,Directed
rx_147,LcMethionine_c,Directed
rx_147,_hcOxoglutarate_c,Directed
