Source,Target,Type
Choline_ChHhhNO_e,rx_43,Directed
ATP_ChhHhhNhOhhPh_c,rx_43,Directed
rx_43,Hf_c,Directed
rx_43,Choline_ChHhhNO_c,Directed
rx_43,ADP_ChhHhhNhOhhPh_c,Directed
rx_43,Phosphate_c,Directed
COh_COh_e,rx_44,Directed
LcAspartate_c,rx_45,Directed
GTP_ChhHhhNhOhhPh_c,rx_45,Directed
IMP_ChhHhhNhOhP_c,rx_45,Directed
rx_45,NhcdhghcDicarboxyethylecAMP_c,Directed
rx_45,Hf_c,Directed
rx_45,GDP_ChhHhhNhOhhPh_c,Directed
rx_45,Phosphate_c,Directed
Bicarbonate_c,rx_46,Directed
AcetylcCoA_c,rx_46,Directed
ATP_ChhHhhNhOhhPh_c,rx_46,Directed
rx_46,Hf_c,Directed
rx_46,ADP_ChhHhhNhOhhPh_c,Directed
rx_46,Malonyl_CoA_ChhHhhNhOhhPhS_c,Directed
rx_46,Phosphate_c,Directed
NdomegaecdLcArgininoesuccinate_c,rx_47,Directed
rx_47,LcArginine_c,Directed
rx_47,Fumarate_c,Directed
Nicotinamide_adenine_dinucleotide_c,rx_48,Directed
DodecanoylcCoA_dncChhjhCoAe_c,rx_48,Directed
rx_48,Hf_c,Directed
rx_48,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
rx_48,TranscDodecchcenoylcCoA_c,Directed
Acetate_c,rx_49,Directed
ATP_ChhHhhNhOhhPh_c,rx_49,Directed
rx_49,Acetyl_phosphate_c,Directed
rx_49,ADP_ChhHhhNhOhhPh_c,Directed
UDP_ChHhhNhOhhPh_c,rx_50,Directed
ATP_ChhHhhNhOhhPh_c,rx_50,Directed
rx_50,UTP_ChHhhNhOhhPh_c,Directed
rx_50,ADP_ChhHhhNhOhhPh_c,Directed
Nicotinamide_adenine_dinucleotide_c,rx_51,Directed
Dihydrolipoamide_ChHhhNOSh_c,rx_51,Directed
rx_51,Hf_c,Directed
rx_51,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
rx_51,Lipoamide_ChHhhNOSh_c,Directed
dRechghcDihydroxychcmethylbutanoate_c,rx_52,Directed
rx_52,HhO_HhO_c,Directed
rx_52,_hcMethylchcoxobutanoate_c,Directed
HhO_HhO_c,rx_53,Directed
GTP_ChhHhhNhOhhPh_c,rx_53,Directed
rx_53,Hf_c,Directed
rx_53,_hcAminochchydroxychcderythrochghghctrihydroxypropyledihydropteridine_triphosphate_c,Directed
rx_53,Formate_c,Directed
HhO_HhO_c,rx_54,Directed
Thiamin_e,rx_54,Directed
ATP_ChhHhhNhOhhPh_c,rx_54,Directed
rx_54,Hf_c,Directed
rx_54,Thiamin_c,Directed
rx_54,ADP_ChhHhhNhOhhPh_c,Directed
rx_54,Phosphate_c,Directed
HhO_HhO_c,rx_55,Directed
_hcMethylthioadenosine_c,rx_55,Directed
rx_55,_hcMethylthiocDcribose_c,Directed
rx_55,Adenine_c,Directed
_hghcdihydroxychcbutanone_hcphosphate_c,rx_56,Directed
