CC1=NC=C(C(=N1)N)COP(=O)(O)O
C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N
C[C@@]1(CC(=O)O)/C2=C/c3[nH]c(c(CCC(=O)O)c3CC(=O)O)Cc3[nH]c(c(CC(=O)O)c3CCC(=O)O)/C=C3\[NH2+]/C(=C\C(=N2)[C@H]1CCC(=O)O)[C@@](C)(CC(=O)O)[C@@H]3CCC(=O)O
R
R
C([C@@H]1[C@H]([C@@H]([C@@](O1)(COP(=O)(O)O)O)O)O)OP(=O)(O)O
CCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
CC1=CC2=C(C=C1C)N(C3=C(N2)C(=O)NC(=O)N3)CC(C(C(CO)O)O)O
R
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O)O
Nc1nc2c(c(=O)[nH]1)N=C([C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)CN2
[NH3+][C@@H](CCC=O)C(=O)O
C1=CC(=CN=C1)C(=O)O
R
N(=O)[O-]
C1[C@H]([C@H]([C@H](C(O1)O)O)O)O
R
CC(C)[C@@H](C(=O)O)N
CCC(C)C(=O)SCCC(CCCCC(=O)N)S
C(C(C(=O)O)O)C(=O)O
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OC2O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O
CC(=O)N[C@@H]1[C@H](CC(O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)O)O
C(=O)N
CC(C)C[C@@H](C(=O)O)N
O=P(O)(O)OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Nc1c2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2nc[n+]1C1OC(COP(=O)(O)O)C(O)C1O
C(=C\C(=O)O)\C(=O)N 
CCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
CCCCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
C1[C@H]([C@@H]([C@@H](C=C1C(=O)O)O)O)O
COC1=CC(=O)C(C)=C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)C1=O
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OS(=O)(=O)O)O)O)N
R
NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1/N=C/N[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
CC(=O)[C@H](COP(=O)(O)O)O
R
Cc1ncc(COP(=O)(O)OP(=O)(O)O)c(N)n1
C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O)O
O=C(O)CCC(=O)N[C@@H](CCCC(=O)C(=O)O)C(=O)O
C(C(C(C(C(C(=O)O)O)O)O)O)OP(=O)(O)O
C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O
C[C@H](C(=O)O)N
CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)O)O)O)O
CC(=CCC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)C
C1=CC=C(C=C1)CC(=O)C(=O)O
NC(=O)NCCCC(N)C(=O)O
C(C[C@@H](C(=O)O)N)CN=C(N)N
O=P(O)(O)OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
O=CNCC(=O)N[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
C1=NC2=C(N1)C(=O)NC(=N2)N
C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O
C([C@H]([C@H](C(=O)CO)O)O)OP(=O)(O)O
C=O
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1c(C)c(O)c2ccccc2c1O
C([C@@H](C(=O)O)N)O
C([C@H]([C@H]([C@H](C=O)O)O)O)OP(=O)(O)O
CC[C@H](C)[C@@H](C(=O)O)N
C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2
C1C(=O)[C@H]([C@@H]([C@H](O1)CO)O)O
C(CC[NH3+])C[NH3+]
C1[C@@H]2CN(C=[N+]2C3=C(N1)N=C(NC3=O)N)C4=CC=C(C=C4)C(=O)N[C@@H](CCC(=O)O)C(=O)O
C(CC(=O)O)C(C(=O)O)[NH3+]
NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1NC=O
CCCCCC/C=CCCCCCCCC(=O)O
C(C(=O)C(=O)O)P(=O)(O)O
CC(=O)N[C@@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
CC(=O)N[C@H]1C(O)O[C@H](CO)[C@H](O)[C@@H]1O
CCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
CC(=O)N[C@@H](CCC(=O)OP(=O)(O)O)C(=O)O
C1C(=NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
C(CN)C(=O)O
[N+](=O)([O-])[O-]
[S]
C(C(CO)O)O
O
O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
O[C@@H]1C[C@H](O)[C@H](O)CO1
C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N
CC(=O)N[C@H]1[C@H](NC(=O)C[C@H](NC([*])=O)C(=O)N[*])O[C@H](CO)[C@@H](O)[C@@H]1O
CC(=CCOP(=O)(O)OP(=O)(O)O)C
O=O
R
C[C@H](C(=O)O)O
CC(C)[C@H](C(=O)O)C(=O)C(=O)O
C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O 
O=P(O)(O)OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C1=CC=C(C(=C1)CO)O
C([C@@H](C(=O)O)N)C(=O)O
Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O1
CCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
CCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
Nc1c[nH+]cn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
R
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C
CC1=CC2=C(C=C1C)N(C3=C(N2)C(=O)NC(=O)N3)C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=NC6=C(N=CN=C65)N)O)O)O)O)O 
CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](CCC(=O)N[C@@H](CCC[C@@H]([NH3+])C(=O)O)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)O)C(=O)O
C(=C\C(=O)O)\C(=O)O 
CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)OC(CCC(=O)O)O
OP(=O)(O)OP(=O)(O)O
CC(C)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O 
CCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
[13CH3]S[13CH2][13C@@H]1[13C@H]([13C@H]([13C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O
R
C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
C([C@@H](C(=O)O)N)S
O=C(O)[C@H](O)CO
CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@H](C)C(=O)O
C(C(CO)O)O
O=C(O)C(=O)C[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
CSCC[C@@H](C(=O)O)N
C[N+](C)(C)CC=O
R
R
C(CCNCCCN)CN
C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2
C(C[C@@H](C(=O)O)N)CN
C[N+](C)(C)CC(CC(=O)O)O
O=P(O)(O)O[C@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
C(=O)[O-]
R
R
CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@H](C)C(=O)N[C@@H](C)C(=O)O
[O-]S(=O)(=O)[O-]
CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)OC(CO)C(O)C1OC(C)C(=O)NC(C)C(=O)NC(CCC(=O)O)C(=O)O
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=CC(=O)c2ccccc2C1=O
CC[C@H](C)[C@@H](C(=O)O)N
C(CC(=O)O)C(=O)C(=O)O
R
R
C1=CC(=CC=C1C[C@@H](C(=O)O)N)O
C(=O)(N)N
R
CC[C@H](C)C(=O)C(=O)O
C([C@H]([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)O)OP(=O)(O)O
C1=C(NC=N1)C[C@@H](C(=O)O)N
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OC(=O)CCCC[C@@H]2SC[C@@H]3NC(=O)N[C@H]23)[C@@H](O)[C@H]1O
C1=C(C(=C(N1)CC2=C(C(=C(N2)CC3=C(C(=C(N3)CC4=C(C(=C(N4)CO)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O
CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O
C([C@@H](C(=O)O)N)S
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N
C1C(=NC2=C(N1)N=C(NC2=O)N)CO
C(C(=O)C(=O)O)O
C([C@H](C(=O)OP(=O)(O)O)O)OP(=O)(O)O
CCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
CCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O
O=C(O)CCc1c2[nH]c(c1CC(=O)O)Cc1[nH]c(c(CC(=O)O)c1CCC(=O)O)Cc1[nH]c(c(CC(=O)O)c1CCC(=O)O)Cc1[nH]c(c(CC(=O)O)c1CCC(=O)O)C2
CC(=O)N[C@@H]1C(O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O
CSC[C@@H]1[C@H]([C@H](C(O1)O)O)O
C(CSC[C@@H](C(=O)O)N)[C@@H](C(=O)O)N
R
C[C@@H]([NH2+][C@@H](CCCNC(N)=[NH2+])C(=O)O)C(=O)O
R
CC(C)CC(=O)SCCC(CCCCC(=O)N)S
C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O
C1=C(N(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)C(=O)O
C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)OP(=O)(O)O
C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)OP(=O)(O)O
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@@](C)(O)CC(=O)O
CCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
R
O
C[N+](C)(C)CC(=O)O
C1=CC(=CC=C1C(=O)O)N
CC(=O)N[C@@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O
R
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N
Nc1c(C(=O)O)[nH+]cn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O
C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)CO)O
CC(=O)NC1C(OC2C(CO)OC(OP(=O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)C(NC(C)=O)C2OC(C)C(=O)NC(C)C(=O)NC(CCC(=O)O)C(=O)NC(CCCC([NH3+])C(=O)O)C(=O)NC(C)C(=O)NC(C)C(=O)O)OC(CO)C(O)C1O
R
R
CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](CCC(=O)N[C@@H](CCC[C@@H]([NH3+])C(=O)O)C(=O)O)C(=O)O
C(CC(=O)O)C(C(=O)O)N=CN
O=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1
S
O=P(O)(O)OC[C@H]1OC(O)(COP(=O)(O)O)[C@@H](O)[C@H]1O
C([C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O)O
OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
CC(=O)N[C@@H](CCC[C@H]([NH3+])C(=O)O)C(=O)O
CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)OC(CO)C(O)C1OC(C)C(=O)NC(C)C(=O)NC(CCC(=O)O)C(=O)NC(CCCC([NH3+])C(=O)O)C(=O)NC(C)C(=O)NC(C)C(=O)O
C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O
OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
[K+]
R
C(CC(=O)N)[C@@H](C(=O)O)N
C(CCN=C(N)N)CN
CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1OP(=O)(O)O)CO)O)O
C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O
CSC[C@@H](O)[C@@H](O)C(=O)COP(=O)(O)O
C[N+](C)(C)CCO
C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O
O=P(O)(O)OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
CC(C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
C([C@@H]1[C@H]([C@H]([C@@H](O1)N)O)O)OP(=O)(O)O
CC(=O)OP(=O)(O)O
R
C1=CC=C2C(=C1)C(=CN2)CC=O
CCCCCCCC/C=C\CCCCCCCC(=O)O
NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1N
R
O=P(O)(O)OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
R
C(C[C@@H](C(=O)O)N)CN=C(N)N
C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)O)O
COC1=CC(=O)C=C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)C1=O
[Mn+]
R
CCO
C1[C@H]([C@@H](C(=O)C=C1C(=O)O)O)O
C(C(=O)C(=O)O)C(=O)O
C(C(=O)O)C(CC(=O)O)(C(=O)O)O
C[C@@H](C(=O)O)N
C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N
C1=CC=C(C=C1)C[C@@H](C(=O)O)N
O=C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
C(C(C(=O)O)N)P(=O)(O)O
O=CC[C@H](O)[C@H](O)COP(=O)(O)O
R
Cc1ncsc1CCO
C1=CC(=CN=C1)C(=O)O
R
C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O
C[C@@H]1NC(=O)N[C@@H]1CCCCCC(=O)O
[NH3+][C@@H](CCC[C@@H]([NH3+])C(=O)O)C(=O)O
O=C(O)C1=N[C@H](C(=O)O)CC=C1
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=C(C)C(=O)c2ccccc2C1=O
C[N+](C)(C)CC(CC(=O)O)O
CCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
O=C(CO)[C@@H](O)[C@@H](O)COP(=O)(O)O
C([C@H]([C@H]([C@@H](C(=O)COP(=O)(O)O)O)O)O)O
C1=NC2=C(N1)C(=O)NC(=O)N2
C([C@@H](C(=O)O)N)C(=O)N
C([C@H]([C@@H](C(=O)CO)O)O)OP(=O)(O)O
R
O=P(O)(O)OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O
C=C(C(=O)O)O[C@@H]1C=C(C=C[C@H]1O)C(=O)O
[O-]S(=O)(=O)O
[NH3+][C@@H](CCC[C@H]([NH3+])C(=O)O)C(=O)O
