CC1=NC=C(C(=N1)N)COP(=O)([O-])[O-]
C1C(NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)[O-])C(=O)[O-]
R
C1C2CN(CN2C3=C(N1)N=C(NC3=O)N)C4=CC=C(C=C4)C(=O)NC(CCC(=O)[O-])C(=O)[O-]
CN1C(CNC2=C1C(=O)NC(=N2)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
CCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
R
CC(C)C(C(=O)[O-])C(O)C(=O)[O-]
C1=CC=C(C(=C1)C(=O)[O-])NC2C(C(C(O2)COP(=O)([O-])[O-])O)O
CC1=C(C2=CC3=C(C(=C([N-]3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1[N-]2)C)C=C)C)C=C)C)CCC(=O)O)CCC(=O)O
C=C(C(=O)[O-])OC1C=C(C=CC1[NH3+])C(=O)[O-]
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O
C1C(C(C(=O)CC1(C(=O)[O-])O)O)O
R
C1=NC2=C(N1C3C(C(C(O3)COP(=O)([O-])OP(=O)([O-])[O-])O)O)N=C(NC2=O)N
C[C@@]1(CC(=O)[O-])/C2=C/c3[nH]c(c(CCC(=O)[O-])c3CC(=O)[O-])Cc3[nH]c(c(CC(=O)[O-])c3CCC(=O)[O-])/C=C3[NH2+]/C(=CC(=N2)[C@H]1CCC(=O)[O-])[C@@](C)(CC(=O)[O-])[C@@H]3CCC(=O)[O-]
R
R
C(C1C(C(C(O1)(COP(=O)([O-])[O-])O)O)O)OP(=O)([O-])[O-]
CCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
CC1=CC2=C(C=C1C)N(C3=C(N2)C(=O)NC(=O)N3)CC(C(C(CO)O)O)O
R
CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])C(C(=O)NCCC(=O)NCCSC(=O)CCC(=O)[O-])O
Nc1nc2c(c(=O)[nH]1)N=C([C@H](O)[C@H](O)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])CN2
C(CC(=O)O)C(C=O)N
C1=CC(=CN=C1)C(=O)[O-]
R
N(=O)[O-]
C1C(C(C(C(O1)O)O)O)O
R
CC(C)C(C(=O)O)N
CCC(C)C(=O)SCCC(CCCCC(=O)N)S
C(C(C(=O)[O-])O)C(=O)[O-]
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)([O-])OP(=O)([O-])OC4C(C(C(C(O4)C(CO)O)O)O)O)O)O)N
CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)[O-])O)O
C(=O)N
CC(C)CC(C(=O)O)N
C(C1C(C(C(C(O1)OC2(C(C(C(O2)COP(=O)([O-])[O-])O)O)CO)O)O)O)O
Nc1c2ncn(C3OC(COP(=O)([O-])O)C(O)C3O)c2nc[n+]1C1OC(COP(=O)([O-])O)C(O)C1O
C(=CC(=O)[O-])C(=O)N
CCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
CCCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O)O
C1C(C(C(C=C1C(=O)[O-])O)O)O
CC1=C(C(=C(C=C1O)OC)O)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OS(=O)(=O)[O-])[C@@H](O)[C@H]1O
R
NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1/N=C/N[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
CC(=O)C(COP(=O)([O-])[O-])O
R
CC1=NC=C(C(=N1)N)COP(=O)([O-])OP(=O)([O-])[O-]
C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O)O
C(CC(C(=O)[O-])NC(=O)CCC(=O)[O-])CC(=O)C(=O)[O-]
C(C(C(C(C(C(=O)[O-])O)O)O)O)OP(=O)([O-])[O-]
C1C(C(C(C(O1)(CO)O)O)O)O
CC(C(=O)O)N
CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)O)O)O)O
CC(=CCCC(=CCOP(=O)([O-])OP(=O)([O-])[O-])C)C
C1=CC=C(C=C1)CC(=O)C(=O)[O-]
C(CC(C(=O)O)N)CNC(=O)N
C(CC(C(=O)[O-])N)CNC(N)N
C(C(C(C(C(COP(=O)(O)O)O)O)O)O)O
C(C1C(C(C(O1)NC(=O)CNC=O)O)O)OP(=O)([O-])[O-]
C1=NC2=C(N1)C(=O)NC(=N2)N
C1C(=CC=CN1C2C(C(C(O2)COP(=O)([O-])OP(=O)([O-])OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)([O-])[O-])O)O)O)C(=O)N
C(C(C(C(C=O)O)O)O)OP(=O)([O-])[O-]
C=O
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)([O-])[O-])OP(=O)([O-])[O-])O)N
CC1=C(C2=CC=CC=C2C(=C1CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)O)O
C(C(C(=O)O)N)O
C(C(C(C(C=O)O)O)O)OP(=O)([O-])[O-]
CCC(C)C(C(=O)O)N
C1C2C(C(S1)CCCCC(=O)[O-])NC(=O)N2
C1C(=O)[C@H]([C@@H]([C@H](O1)CO)O)O
C(CC[NH3+])C[NH3+]
C1C2CN(C=[N+]2C3=C(N1)N=C(NC3=O)N)C4=CC=C(C=C4)C(=O)NC(CCC(=O)O)C(=O)[O-]
C(CC(=O)[O-])C(C(=O)[O-])[NH3+]
C1=NC(=C(N1C2C(C(C(O2)COP(=O)([O-])[O-])O)O)NC=O)C(=O)N
CCCCCC/C=CCCCCCCCC(=O)[O-]
C(C(=O)C(=O)[O-])P(=O)(O)[O-]
CC(=O)N[C@H]1[C@@H](O)[C@H](O)[C@@H](CO)OC1OP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc(=O)[nH]c1=O
CC(=O)NC1C(C(C(OC1O)CO)O)O
CCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
CC(=O)NC(CCC(=O)OP(=O)([O-])[O-])C(=O)[O-]
C1C(=NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)[O-])C(=O)[O-]
C(CN)C(=O)O
[N+](=O)([O-])[O-]
[S]
C(C(CO)O)O
O
C1(C(C(C(C(C1O)O)O)O)O)O
C(C=O)C(C(CO)O)O
[NH3+][C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-]
CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)NC(CS)C(=O)O)O
CC(=CCOP(=O)([O-])OP(=O)([O-])[O-])C
O=O
R
CC(C(=O)[O-])O
CC(C)[C@H](C(=O)[O-])C(=O)C(=O)[O-]
C(C(C(C(C(CO)O)O)O)O)O
C(C1C(C(C(C(O1)OC2C(C(C(C(O2)COP(=O)([O-])[O-])O)O)O)O)O)O)O
C1=CC=C(C(=C1)CO)O
C(C(C(=O)[O-])N)C(=O)O
Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])[O-])O1
CCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O)O
CCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
Nc1c[nH+]cn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
R
CC(=CCCC(=CCCC(=CCCC=C(C)CCC=C(C)CCC=C(C)C)C)C)C
CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)N5C=NC6=C(N=CN=C65)N)O)O)O)O)O
CC(C(=O)NC(CCC(=O)NC(CCCC(C(=O)[O-])[NH3+])C(=O)NC(C)C(=O)NC(C)C(=O)[O-])C(=O)[O-])NC(=O)C(C)OC1C(C(OC(C1O)CO)OP(=O)([O-])OP(=O)([O-])OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C
C(=CC(=O)[O-])C(=O)[O-]
CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)([O-])OP(=O)([O-])OC(CCC(=O)[O-])O
OP(=O)([O-])OP(=O)([O-])[O-]
CC(C)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
CCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
R
C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O
C(C(C(=O)O)N)S
C(C(C(=O)[O-])O)O
CC(C(=O)[O-])OC1C(C(OC(C1O)CO)OP(=O)([O-])OP(=O)([O-])OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C
C(C(CO)O)O
C(C(C(C(COP(=O)([O-])[O-])O)O)O)C(=O)C(=O)[O-]
CSCCC(C(=O)O)N
C[N+](C)(C)CC=O
R
R
C(CCNCCCN)CN
C1C2C(C(S1)CCCCC(=O)[O-])NC(=O)N2
C(CC(C(=O)O)N)CN
C[N+](C)(C)CC(CC(=O)[O-])O
C1(C(C(C(C(C1O)O)OP(=O)([O-])[O-])O)O)O
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O
CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
C(=O)[O-]
R
R
CC(C(=O)O)NC(=O)C(C)OC1C(C(OC(C1O)CO)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C
[O-]S(=O)(=O)[O-]
CC(C(=O)NC(CCC(=O)[O-])C(=O)[O-])NC(=O)C(C)OC1C(C(OC(C1O)CO)OP(=O)([O-])OP(=O)([O-])OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C
CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC(=O)C2=CC=CC=C2C1=O)C)C)C)C)C)C)C)C
CCC(C)C(C(=O)O)N
C(CC(=O)[O-])C(=O)C(=O)[O-]
R
R
C1=CC(=CC=C1CC(C(=O)O)N)O
C(=O)(N)N
R
CCC(C)C(=O)C(=O)[O-]
C(C(C(C(C(C(=O)CO)O)O)O)O)OP(=O)([O-])[O-]
C1=C(NC=N1)CC(C(=O)O)N
Nc1ncnc2c1ncn2[C@@]1O[C@](COP(=O)([O-])OC(=O)CCCC[C@@]2SC[C@@]3NC(=O)N[C@]23)[C@@](O)[C@]1O
C1=C(C(=C(N1)CC2=C(C(=C(N2)CC3=C(C(=C(N3)CC4=C(C(=C(N4)CO)CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])CCC(=O)[O-]
CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)([O-])OP(=O)([O-])OC4C(C(C(C(O4)CO)O)O)O)O)O)N
C(C(C(=O)O)N)S
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
C1C(=NC2=C(N1)N=C(NC2=O)N)CO
C(C(=O)C(=O)[O-])O
C(C(C(=O)OP(=O)([O-])[O-])O)OP(=O)([O-])[O-]
CCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
CCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
C1C(C(C(C(O1)(CO)O)O)O)O
C1C2=C(C(=C(N2)CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C1N5)CCC(=O)[O-])CC(=O)[O-])CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])CCC(=O)[O-]
CC(=O)NC1C(C(C(OC1O)COP(=O)([O-])[O-])O)O
CSCC1C(C(C(O1)O)O)O
C(CSCC(C(=O)O)N)C(C(=O)O)N
R
CC(C(=O)O)NC(CCCN=C(N)N)C(=O)O
R
CC(C)CC(=O)SCCC(CCCCC(=O)N)S
C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)([O-])[O-])O)O
C1=C(N(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)O)O)O)C(=O)O
C(C1C(C(C(C(O1)O)O)O)O)OP(=O)([O-])[O-]
C(C1C(C(C(C(=O)O1)O)O)O)OP(=O)([O-])[O-]
CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])C(C(=O)NCCC(=O)NCCSC(=O)CC(C)(CC(=O)[O-])O)O
CCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
R
O
C[N+](C)(C)CC(=O)[O-]
C1=CC(=CC=C1C(=O)[O-])N
CC(=O)NC1C(C(C(OC1O)CO)O)O
R
C1=NC(=C2C(=N1)N(C=N2)C3C(C(=O)C(O3)COP(=O)(O)O)O)N
C1=NC(=C(N1C2C(C(C(O2)COP(=O)([O-])[O-])O)O)N)C(=O)[O-]
CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O
C1C(C(OC1N2C=CC(=O)NC2=O)CO)O
CC(=O)NC1C(OC2C(CO)OC(OP(=O)([O-])OP(=O)([O-])OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)C(NC(C)=O)C2OC(C)C(=O)NC(C)C(=O)NC(CCC(=O)[O-])C(=O)NC(CCCC([NH3+])C(=O)[O-])C(=O)NC(C)C(=O)NC(C)C(=O)[O-])OC(CO)C(O)C1O
R
R
CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](CCC(=O)N[C@@H](CCC[C@@H]([NH3+])C(=O)[O-])C(=O)[O-])C(=O)[O-]
C(CC(=O)[O-])C(C(=O)[O-])N=CN
C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O
S
C(C1C(C(C(O1)(COP(=O)(O)O)O)O)O)OP(=O)(O)O
C(C1C(C(C(O1)OP(=O)([O-])[O-])O)O)O
C(C(C(C(C(CO)O)O)O)O)O
CC(=O)NC(CCCC(C(=O)[O-])[NH3+])C(=O)[O-]
CC(C(=O)NC(CCC(=O)NC(CCCC(C(=O)[O-])[NH3+])C(=O)NC(C)C(=O)NC(C)C(=O)[O-])C(=O)[O-])NC(=O)C(C)OC1C(C(OC(C1O)CO)OP(=O)([O-])OP(=O)([O-])OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)NC(=O)C
C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O
[K+]
R
C(CC(=O)N)C(C(=O)O)N
C(CC[NH+]=C(N)N)C[NH3+]
CC(=O)NC1C(C(C(OC1OP(=O)([O-])[O-])CO)O)O
C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)([O-])OP(=O)([O-])OC3C(C(C(C(O3)CO)O)O)O)O)O
CSC[C@@](O)[C@@](O)C(=O)COP(=O)([O-])[O-]
C[N+](C)(C)CCO
C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O
C(C1C(C(C(C(O1)O)O)O)O)OP(=O)([O-])[O-]
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O
CC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
C(C1C(C(C(O1)[NH3+])O)O)OP(=O)([O-])[O-]
CC(=O)OP(=O)([O-])[O-]
R
C1=CC=C2C(=C1)C(=CN2)CC=O
CCCCCCCCC=CCCCCCCCC(=O)[O-]
C1=NC(=C(N1C2C(C(C(O2)COP(=O)([O-])[O-])O)O)N)C(=O)N
R
C(C(C(C(C(COP(=O)([O-])[O-])O)O)O)O)O
R
C(CC(C(=O)[O-])N)CNC(N)N
C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)([O-])OP(=O)([O-])OC3C(C(C(C(O3)CO)O)O)O)O)O
CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC(=O)C=C(C1=O)OC)C)C)C)C)C)C)C)C
[Mn+]
R
CCO
OC1CC(=CC(=O)C1O)C([O-])=O
C(C(=O)C(=O)[O-])C(=O)[O-]
C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O
CC(C(=O)O)N
C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N
C1=CC=C(C=C1)CC(C(=O)O)N
C(C1C(C(C(C(O1)O)O)O)O)O
C(C(C(=O)O)N)P(=O)(O)O
C(C=O)C(C(COP(=O)([O-])[O-])O)O
R
CC1=C(SC=N1)CCO
C1=CC(=CN=C1)C(=O)[O-]
R
C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O
CC1C(NC(=O)N1)CCCCCC(=O)[O-]
[C@](N)(CCC[C@@](N)C(O)=O)C(O)=O
C1C=CC(=NC1C(=O)[O-])C(=O)[O-]
CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C
C[N+](C)(C)CC(CC(=O)[O-])O
CCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
C(C(C(C(=O)CO)O)O)OP(=O)([O-])[O-]
C(C1C(C(C(O1)(COP(=O)([O-])[O-])O)O)O)O
C1=NC2=C(N1)C(=O)NC(=O)N2
C(C(C(=O)O)N)C(=O)N
C(C(C(C(=O)CO)O)O)OP(=O)([O-])[O-]
R
C(C1C(C(C(C(O1)O)O)O)OC2C(C(C(C(O2)COP(=O)([O-])[O-])O)O)O)O
C=C(C(=O)[O-])OC1C=C(C=CC1O)C(=O)[O-]
[O-]S(=O)(=O)[O-]
C(CC(C(=O)[O-])[NH3+])CC(C(=O)[O-])[NH3+]
C1=NC(=C(N1C2C(C(C(O2)COP(=O)([O-])[O-])O)O)N)C(=O)[O-]
CC1=C(C2=CC3=C(C(=C([N-]3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1[N-]2)C)C=C)C)C=C)C)CCC(=O)O)CCC(=O)O
C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)([O-])OP(=O)([O-])[O-])O
CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)([O-])[O-])O
C1=CC(=CC=C1CC(=O)C(=O)[O-])O
CSCCC(=O)C(=O)[O-]
C(CC(=O)O)C(C(=O)[O-])N
C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)([O-])OP(=O)([O-])OCC(CO)O)O)O
C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O
CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)([O-])[O-])C)C)C)C)C)C)C)C)C)C)C
C1=CN(C(=O)NC1=O)C(C=O)OC(COP(=O)(O)O)C=O
C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O
C(C(C(=O)[O-])O)OP(=O)([O-])[O-]
R
CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)[O-])C)C(=C3C)CCC(=O)[O-])C=C
C1C2=C(C(=C(N2)CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C1N5)CCC(=O)[O-])CC(=O)[O-])CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])CCC(=O)[O-]
C1=CC=C(C(=C1)C(=O)[O-])N
CC(=O)NC1C(C(C(OC1OP(=O)([O-])OP(=O)([O-])OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O
O=O
CO
C(C(C(C(=O)CO)O)O)O
CC(=O)N[C@@](CCCC(=O)C(=O)[O-])C(=O)[O-]
CCC(=O)C(=O)[O-]
CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O
CCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
R
R
C1CSSC1CCCCC(=O)N
