Source,Target,Type
_hghcDihydrofolate_c,rx_104,Directed
rx_104,_hghghghcTetrahydrofolate_c,Directed
rx_104,Nicotinamide_adenine_dinucleotide_phosphate_c,Directed
Hydrogen_e,rx_105,Directed
UTP_ChHhhNhOhhPh_c,rx_106,Directed
Hf_c,rx_106,Directed
DcGlucose_hcphosphate_c,rx_106,Directed
rx_106,Diphosphate_c,Directed
rx_106,UDPglucose_c,Directed
Phosphate_e,rx_107,Directed
Hf_c,rx_108,Directed
CTP_ChHhhNhOhhPh_c,rx_108,Directed
HhO_HhO_c,rx_108,Directed
rx_108,UTP_ChHhhNhOhhPh_c,Directed
rx_108,Ammonium_c,Directed
_hcPhosphocDcglycerate_c,rx_109,Directed
Nicotinamide_adenine_dinucleotide_c,rx_109,Directed
rx_109,Hf_c,Directed
rx_109,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
rx_109,_hcPhosphohydroxypyruvate_c,Directed
Hf_e,rx_110,Directed
Guanosine_e,rx_110,Directed
rx_110,Hf_c,Directed
rx_110,Guanosine_c,Directed
Protoheme_ChhHhhFeNhOh_e,rx_111,Directed
HhO_HhO_e,rx_112,Directed
rx_112,HhO_HhO_c,Directed
COh_COh_e,rx_113,Directed
GTP_ChhHhhNhOhhPh_c,rx_114,Directed
IMP_ChhHhhNhOhP_c,rx_114,Directed
LcAspartate_c,rx_114,Directed
rx_114,NhcdhghcDicarboxyethylecAMP_c,Directed
rx_114,Hf_c,Directed
rx_114,GDP_ChhHhhNhOhhPh_c,Directed
rx_114,Phosphate_c,Directed
LcValine_e,rx_115,Directed
ATP_ChhHhhNhOhhPh_c,rx_116,Directed
Bicarbonate_c,rx_116,Directed
AcetylcCoA_c,rx_116,Directed
rx_116,Hf_c,Directed
rx_116,ADP_ChhHhhNhOhhPh_c,Directed
rx_116,Phosphate_c,Directed
rx_116,Malonyl_CoA_ChhHhhNhOhhPhS_c,Directed
Acrylamide_c,rx_117,Directed
HhO_HhO_c,rx_117,Directed
rx_117,Acrylic_acid_c,Directed
rx_117,Ammonium_c,Directed
DcMannose_hcphosphate_c,rx_118,Directed
rx_118,DcFructose_hcphosphate_c,Directed
NdomegaecdLcArgininoesuccinate_c,rx_119,Directed
rx_119,Fumarate_c,Directed
rx_119,LcArginine_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_120,Directed
_hcMethylchcdhchydroxyethylecthiazole_c,rx_120,Directed
rx_120,_hcMethylchcdhcphosphoethylecthiazole_c,Directed
rx_120,Hf_c,Directed
rx_120,ADP_ChhHhhNhOhhPh_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_121,Directed
LcHomoserine_c,rx_121,Directed
rx_121,Hf_c,Directed
rx_121,OcPhosphocLchomoserine_c,Directed
rx_121,ADP_ChhHhhNhOhhPh_c,Directed
LLchghcDiaminoheptanedioate_c,rx_122,Directed
rx_122,MesochghcDiaminoheptanedioate_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_123,Directed
Acetate_c,rx_123,Directed
rx_123,Acetyl_phosphate_c,Directed
rx_123,ADP_ChhHhhNhOhhPh_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_124,Directed
UDP_ChHhhNhOhhPh_c,rx_124,Directed
rx_124,UTP_ChHhhNhOhhPh_c,Directed
rx_124,ADP_ChhHhhNhOhhPh_c,Directed
LcTyrosine_c,rx_125,Directed
_hcOxoglutarate_c,rx_125,Directed
rx_125,LcGlutamate_c,Directed
rx_125,_hcdhcHydroxyphenylepyruvate_c,Directed
Pyruvate_e,rx_126,Directed
Succinate_semialdehydecthiamin_diphosphate_anion_c,rx_127,Directed
Isochorismate_c,rx_127,Directed
rx_127,Pyruvate_c,Directed
rx_127,Thiamine_diphosphate_c,Directed
rx_127,_hcSuccinylchchydroxychghccyclohexadienechccarboxylate_c,Directed
GTP_ChhHhhNhOhhPh_c,rx_128,Directed
HhO_HhO_c,rx_128,Directed
rx_128,Hf_c,Directed
rx_128,Formate_c,Directed
rx_128,_hcAminochchydroxychcderythrochghghctrihydroxypropyledihydropteridine_triphosphate_c,Directed
NhcdhghcDicarboxyethylecAMP_c,rx_129,Directed
rx_129,Fumarate_c,Directed
rx_129,AMP_ChhHhhNhOhP_c,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c,rx_130,Directed
LcGlutamate_c,rx_130,Directed
HhO_HhO_c,rx_130,Directed
rx_130,Hf_c,Directed
rx_130,_hcOxoglutarate_c,Directed
rx_130,Ammonium_c,Directed
