Source,Target,Type
glutamylchcphosphateamb,rx_87,Directed
Hfamb,rx_87,Directed
NADPHamb,rx_87,Directed
rx_87,Lcglutamate_hcsemialdehydeamb,Directed
rx_87,NADPfamb,Directed
rx_87,Piamb,Directed
COhamb,rx_88,Directed
HhOamb,rx_88,Directed
rx_88,Hfamb,Directed
rx_88,HCOhcamb,Directed
arginineamb,rx_89,Directed
HhOamb,rx_89,Directed
rx_89,ornithineamb,Directed
rx_89,ureaamb,Directed
_hcphosphocDcglycerateacb,rx_90,Directed
NADfacb,rx_90,Directed
rx_90,_hcphosphonooxypyruvateacb,Directed
rx_90,Hfacb,Directed
rx_90,NADHacb,Directed
_hcphosphonooxypyruvateacb,rx_91,Directed
glutamateacb,rx_91,Directed
rx_91,_hcphosphoserineacb,Directed
rx_91,AKGacb,Directed
serineacb,rx_92,Directed
THFacb,rx_92,Directed
rx_92,_hghhcmethylenecTHFacb,Directed
rx_92,glycineacb,Directed
rx_92,HhOacb,Directed
threonineacb,rx_93,Directed
rx_93,_hcoxobutyrateacb,Directed
rx_93,NHhacb,Directed
alanineamb,rx_94,Directed
glyoxalateamb,rx_94,Directed
rx_94,glycineamb,Directed
rx_94,pyruvateamb,Directed
_hghhcmethylenecTHFamb,rx_95,Directed
glycineamb,rx_95,Directed
HhOamb,rx_95,Directed
rx_95,serineamb,Directed
rx_95,THFamb,Directed
glycolateacb,rx_96,Directed
NADPfacb,rx_96,Directed
rx_96,glyoxalateacb,Directed
rx_96,Hfacb,Directed
rx_96,NADPHacb,Directed
histidineacb,rx_97,Directed
rx_97,NHhacb,Directed
rx_97,urocanateacb,Directed
NcformiminocLcglutamateacb,rx_98,Directed
THFacb,rx_98,Directed
rx_98,_hcformiminotetrahydrofolateacb,Directed
rx_98,glutamateacb,Directed
_hcimidazolonechcpropanoateacb,rx_99,Directed
HhOacb,rx_99,Directed
rx_99,NcformiminocLcglutamateacb,Directed
HhOacb,rx_100,Directed
urocanateacb,rx_100,Directed
rx_100,_hcimidazolonechcpropanoateacb,Directed
_hcoxoadipateamb,rx_101,Directed
CoAamb,rx_101,Directed
NADfamb,rx_101,Directed
rx_101,COhamb,Directed
rx_101,glutarylcCoAamb,Directed
rx_101,Hfamb,Directed
rx_101,NADHamb,Directed
AKGamb,rx_102,Directed
Hfamb,rx_102,Directed
lysineamb,rx_102,Directed
NADPHamb,rx_102,Directed
rx_102,HhOamb,Directed
rx_102,NADPfamb,Directed
rx_102,saccharopineamb,Directed
AKGamb,rx_103,Directed
Lchcaminoadipateamb,rx_103,Directed
rx_103,_hcoxoadipateamb,Directed
rx_103,glutamateamb,Directed
HhOamb,rx_104,Directed
NADPfamb,rx_104,Directed
saccharopineamb,rx_104,Directed
rx_104,_hcaminoadipate_hcsemialdehydeamb,Directed
rx_104,glutamateamb,Directed
rx_104,Hfamb,Directed
rx_104,NADPHamb,Directed
_hcaminoadipate_hcsemialdehydeamb,rx_105,Directed
HhOamb,rx_105,Directed
NADfamb,rx_105,Directed
rx_105,Hfamb,Directed
rx_105,Lchcaminoadipateamb,Directed
rx_105,NADHamb,Directed
crotonylcCoAamb,rx_106,Directed
HhOamb,rx_106,Directed
rx_106,dSechchydroxybutyrylcCoAamb,Directed
dSechchydroxybutyrylcCoAamb,rx_107,Directed
NADfamb,rx_107,Directed
rx_107,acetoacetylcCoAamb,Directed
rx_107,Hfamb,Directed
rx_107,NADHamb,Directed
acetoacetylcCoAamb,rx_108,Directed
CoAamb,rx_108,Directed
rx_108,acetylcCoAamb,Directed
_hcmethylacetoacetylcCoAamb,rx_109,Directed
CoAamb,rx_109,Directed
rx_109,acetylcCoAamb,Directed
rx_109,propanoylcCoAamb,Directed
ATPamb,rx_110,Directed
Hfamb,rx_110,Directed
HCOhcamb,rx_110,Directed
propanoylcCoAamb,rx_110,Directed
rx_110,ADPamb,Directed
rx_110,methylmalonylcCoAamb,Directed
rx_110,Piamb,Directed
methylmalonylcCoAamb,rx_111,Directed
rx_111,dRecmethylmalonylcCoAamb,Directed
dRecmethylmalonylcCoAamb,rx_112,Directed
rx_112,succinylcCoAamb,Directed
AKGacb,rx_113,Directed
valineacb,rx_113,Directed
rx_113,_hcmethylchcoxobutyrateacb,Directed
rx_113,glutamateacb,Directed
_hchydroxyisobutyrateamb,rx_114,Directed
NADfamb,rx_114,Directed
rx_114,_hcmethylchcoxopropanoateamb,Directed
rx_114,Hfamb,Directed
rx_114,NADHamb,Directed
_hcmethylchcoxopropanoateamb,rx_115,Directed
CoAamb,rx_115,Directed
NADfamb,rx_115,Directed
rx_115,dRecmethylmalonylcCoAamb,Directed
rx_115,Hfamb,Directed
rx_115,NADHamb,Directed
AKGacb,rx_116,Directed
isoleucineacb,rx_116,Directed
rx_116,_hcoxochcmethylvalerateacb,Directed
rx_116,glutamateacb,Directed
AKGacb,rx_117,Directed
leucineacb,rx_117,Directed
rx_117,_hcmethylchcoxopentanoateacb,Directed
rx_117,glutamateacb,Directed
Ohacb,rx_118,Directed
phenylalanineacb,rx_118,Directed
tetrahydrobiopterinacb,rx_118,Directed
rx_118,dihydrobiopterinacb,Directed
rx_118,HhOacb,Directed
rx_118,tyrosineacb,Directed
glutarylcCoAamb,rx_119,Directed
ubiquinoneamb,rx_119,Directed
rx_119,COhamb,Directed
rx_119,crotonylcCoAamb,Directed
rx_119,ubiquinolamb,Directed
AKGacb,rx_120,Directed
phenylalanineacb,rx_120,Directed
rx_120,glutamateacb,Directed
rx_120,phenylpyruvateacb,Directed
AKGacb,rx_121,Directed
tyrosineacb,rx_121,Directed
rx_121,_hchydroxyphenylpyruvateacb,Directed
rx_121,glutamateacb,Directed
_hchydroxyphenylpyruvateacb,rx_122,Directed
Ohacb,rx_122,Directed
