Source,Target,Type
rx_84,Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,Directed
rx_84,Nicotinamide_adenine_dinucleotide_c,Directed
rx_84,Hf_c,Directed
HhO_HhO_e,rx_85,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,rx_86,Directed
_hcOxoglutarate_c,rx_86,Directed
LcGlutamine_c,rx_86,Directed
Hf_c,rx_86,Directed
rx_86,LcGlutamate_c,Directed
rx_86,Nicotinamide_adenine_dinucleotide_phosphate_c,Directed
Nicotinamide_adenine_dinucleotide_c,rx_87,Directed
LcMalate_c,rx_87,Directed
rx_87,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
rx_87,Pyruvate_c,Directed
rx_87,COh_COh_c_sink,Directed
LcGlutamine_c,rx_88,Directed
HhO_HhO_c,rx_88,Directed
rx_88,LcGlutamate_c,Directed
rx_88,Ammonium_c,Directed
Oh_Oh_e,rx_89,Directed
Phosphoenolpyruvate_c,rx_90,Directed
DcFructose_e,rx_90,Directed
rx_90,Pyruvate_c,Directed
rx_90,DcFructose_hcphosphate_c,Directed
Ethanol_c,rx_91,Directed
Nicotinamide_adenine_dinucleotide_c,rx_91,Directed
rx_91,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
rx_91,Hf_c,Directed
rx_91,Acetaldehyde_c,Directed
Hf_e,rx_92,Directed
Phosphate_e,rx_92,Directed
rx_92,Phosphate_c,Directed
rx_92,Hf_c,Directed
Ubiquinolch_c,rx_93,Directed
Hf_c,rx_94,Directed
rx_95,Ubiquinonech_c,Directed
rx_96,Hf_e,Directed
rx_97,HhO_HhO_c,Directed
Oxaloacetate_c,rx_98,Directed
Pyruvate_c,rx_99,Directed
_hcPhosphocDcglycerate_c,rx_100,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,rx_101,Directed
Phosphoenolpyruvate_c,rx_102,Directed
AlphacDcRibose_hcphosphate_c,rx_103,Directed
DcErythrose_hcphosphate_c,rx_104,Directed
Nicotinamide_adenine_dinucleotide_c,rx_105,Directed
LcGlutamine_c,rx_106,Directed
LcGlutamate_c,rx_107,Directed
DcGlucose_hcphosphate_c,rx_108,Directed
HhO_HhO_c,rx_109,Directed
AcetylcCoA_c,rx_110,Directed
Glyceraldehyde_hcphosphate_c,rx_111,Directed
ATP_ChhHhhNhOhhPh_c,rx_112,Directed
DcFructose_hcphosphate_c,rx_113,Directed
rx_114,Coenzyme_A_c,Directed
rx_115,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
rx_116,ADP_ChhHhhNhOhhPh_c,Directed
rx_117,_hcOxoglutarate_c,Directed
rx_118,Phosphate_c,Directed
rx_119,Nicotinamide_adenine_dinucleotide_phosphate_c,Directed
rx_120,Hf_c,Directed
rx_121,Acetaldehyde_e,Directed
rx_122,DcGlycerate_hcphosphate_c,Directed
rx_123,_hcOxoglutarate_e,Directed
rx_124,Acetate_e,Directed
rx_125,DcLactate_e,Directed
rx_126,Formate_e,Directed
rx_127,LcMalate_e,Directed
rx_128,AlphacDcRibose_hcphosphate_c,Directed
rx_129,Ammonium_e,Directed
rx_130,LcGlutamate_e,Directed
rx_131,DcFructose_e,Directed
rx_132,Fumarate_e,Directed
rx_133,Ethanol_e,Directed
rx_134,Phosphate_e,Directed
rx_135,Pyruvate_e,Directed
rx_136,DcGlucose_e,Directed
rx_137,LcGlutamine_e,Directed
rx_138,HhO_HhO_e,Directed
rx_139,Oh_Oh_e,Directed
rx_140,COh_COh_e,Directed
SuccinylcCoA_c,rx_141,Directed
_hcPhosphocDcglyceroyl_phosphate_c,rx_142,Directed
Acetyl_phosphate_c,rx_143,Directed
Formate_c,rx_144,Directed
COh_COh_c_sink,rx_145,Directed
rx_146,COh_COh_c_source,Directed
