Cc1ncc(COP(=O)(O)O)c(N)n1
CC(C)C[C@H](N)C(=O)O
O=P(O)(O)OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
Nc1c2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2nc[n+]1C1OC(COP(=O)(O)O)C(O)C1O
CCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
CCCCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
O=C(O)C1=C[C@@H](O)[C@@H](O)[C@H](O)C1
COC1=CC(=O)C(C)=C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)C1=O
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](O)[C@H]1O
NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1/N=C/N[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
CC(=O)[C@@H](O)COP(=O)(O)O
Cc1ncc(COP(=O)(O)OP(=O)(O)O)c(N)n1
OCC1OC(OCC2OC(O)C(O)C(O)C2O)C(O)C(O)C1O
O=C(O)CCC(=O)N[C@@H](CCCC(=O)C(=O)O)C(=O)O
O=C(O)C(O)C(O)C(O)C(O)COP(=O)(O)O
OCC1(O)OC[C@@H](O)[C@@H](O)[C@@H]1O
C[C@@H](N)C(=O)O
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)COP(=O)(O)O)c2cc1C
CC(C)=CCC/C(C)=C/COP(=O)(O)OP(=O)(O)O
O=C(O)C(=O)Cc1ccccc1
NC(=O)NCCCC(N)C(=O)O
NC(N)=NCCC[C@H](N)C(=O)O
O=P(O)(O)OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
O=CNCC(=O)N[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
Nc1nc2nc[nH]c2c(=O)[nH]1
NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
O=C(CO)[C@H](O)[C@H](O)COP(=O)(O)O
C=O
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1c(C)c(O)c2ccccc2c1O
N[C@@H](CO)C(=O)O
O=C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
CC[C@H](C)[C@H](N)C(=O)O
O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21
O=C1CO[C@H](CO)[C@@H](O)[C@@H]1O
[NH3+]CCCC[NH3+]
Nc1nc2c(c(=O)[nH]1)[N+]1=CN(c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)C[C@H]1CN2
[NH3+]C(CCC(=O)O)C(=O)O
NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1NC=O
CCCCCCC=CCCCCCCCC(=O)O
O=C(O)C(=O)CP(=O)(O)O
CC(=O)N[C@@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
CC(=O)N[C@H]1C(O)O[C@H](CO)[C@H](O)[C@@H]1O
CCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
CC(=O)N[C@@H](CCC(=O)OP(=O)(O)O)C(=O)O
Nc1nc2c(c(=O)[nH]1)N=C(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2
NCCC(=O)O
O=[N+]([O-])[O-]
[S]
OCC(O)CO
O
O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
O[C@@H]1C[C@H](O)[C@H](O)CO1
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O
CC(C)=CCOP(=O)(O)OP(=O)(O)O
O=O
C[C@@H](O)C(=O)O
CC(C)[C@H](C(=O)O)C(=O)C(=O)O
O=P(O)(O)OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
OCc1ccccc1O
N[C@@H](CC(=O)O)C(=O)O
Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O1
CCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
CCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
Nc1c[nH+]cn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C
CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](CCC(=O)N[C@@H](CCC[C@@H]([NH3+])C(=O)O)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)O)C(=O)O
Cc1ncc(C[n+]2csc(CCOP(=O)(O)OP(=O)(O)OC(O)CCC(=O)O)c2C)c(N)n1
O=P(O)(O)OP(=O)(O)O
CCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
[13CH3]S[13CH2][13C@H]1O[13C@@H](n2cnc3c(N)ncnc32)[13C@H](O)[13C@@H]1O
O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
N[C@@H](CS)C(=O)O
O=C(O)[C@H](O)CO
CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@H](C)C(=O)O
OCC(O)CO
O=C(O)C(=O)C[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
CSCC[C@H](N)C(=O)O
C[N+](C)(C)CC=O
NCCCCNCCCN
O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21
NCCC[C@H](N)C(=O)O
C[N+](C)(C)CC(O)CC(=O)O
O=P(O)(O)O[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@@H]1O
OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
O=C[O-]
CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@H](C)C(=O)N[C@@H](C)C(=O)O
O=S(=O)([O-])[O-]
CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)OC(CO)C(O)C1OC(C)C(=O)NC(C)C(=O)NC(CCC(=O)O)C(=O)O
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=CC(=O)c2ccccc2C1=O
CC[C@H](C)[C@H](N)C(=O)O
O=C(O)CCC(=O)C(=O)O
N[C@@H](Cc1ccc(O)cc1)C(=O)O
NC(N)=O
CC[C@H](C)C(=O)C(=O)O
O=C(CO)[C@@H](O)[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
N[C@@H](Cc1cnc[nH]1)C(=O)O
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OC(=O)CCCC[C@@H]2SC[C@@H]3NC(=O)N[C@@H]32)[C@@H](O)[C@H]1O
O=C(O)CCc1c[nH]c(Cc2[nH]c(Cc3[nH]c(Cc4[nH]c(CO)c(CC(=O)O)c4CCC(=O)O)c(CC(=O)O)c3CCC(=O)O)c(CC(=O)O)c2CCC(=O)O)c1CC(=O)O
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O
N[C@@H](CS)C(=O)O
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
Nc1nc2c(c(=O)[nH]1)N=C(CO)CN2
O=C(O)C(=O)CO
O=C(OP(=O)(O)O)[C@H](O)COP(=O)(O)O
CCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
CCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
OCC1(O)OC[C@@H](O)[C@@H](O)[C@@H]1O
O=C(O)CCc1c2[nH]c(c1CC(=O)O)Cc1[nH]c(c(CC(=O)O)c1CCC(=O)O)Cc1[nH]c(c(CC(=O)O)c1CCC(=O)O)Cc1[nH]c(c(CC(=O)O)c1CCC(=O)O)C2
CC(=O)N[C@@H]1C(O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O
CSC[C@H]1OC(O)[C@H](O)[C@@H]1O
N[C@@H](CCSC[C@H](N)C(=O)O)C(=O)O
C[C@@H]([NH2+][C@@H](CCCNC(N)=[NH2+])C(=O)O)C(=O)O
CC(C)CC(=O)SCCC(S)CCCCC(N)=O
Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1
O=C(O)c1cc(=O)[nH]c(=O)n1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
O=C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@H]1O
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@@](C)(O)CC(=O)O
CCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
O
C[N+](C)(C)CC(=O)O
Nc1ccc(C(=O)O)cc1
CC(=O)N[C@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
Nc1c(C(=O)O)[nH+]cn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O
O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1
CC(=O)NC1C(OC2C(CO)OC(OP(=O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)C(NC(C)=O)C2OC(C)C(=O)NC(C)C(=O)NC(CCC(=O)O)C(=O)NC(CCCC([NH3+])C(=O)O)C(=O)NC(C)C(=O)NC(C)C(=O)O)OC(CO)C(O)C1O
CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](CCC(=O)N[C@@H](CCC[C@@H]([NH3+])C(=O)O)C(=O)O)C(=O)O
NC=NC(CCC(=O)O)C(=O)O
O=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1
S
O=P(O)(O)OC[C@H]1OC(O)(COP(=O)(O)O)[C@@H](O)[C@H]1O
O=P(O)(O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O
OC[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO
CC(=O)N[C@@H](CCC[C@H]([NH3+])C(=O)O)C(=O)O
CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)OC(CO)C(O)C1OC(C)C(=O)NC(C)C(=O)NC(CCC(=O)O)C(=O)NC(CCCC([NH3+])C(=O)O)C(=O)NC(C)C(=O)NC(C)C(=O)O
O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1
OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
[K+]
NC(=O)CC[C@H](N)C(=O)O
NCCCCN=C(N)N
CC(=O)N[C@H]1C(OP(=O)(O)O)O[C@H](CO)[C@@H](O)[C@@H]1O
O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
CSC[C@@H](O)[C@@H](O)C(=O)COP(=O)(O)O
C[N+](C)(C)CCO
Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
O=P(O)(O)OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
CC(C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
N[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
CC(=O)OP(=O)(O)O
O=CCc1c[nH]c2ccccc12
CCCCCCCC/C=C\CCCCCCCC(=O)O
NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1N
O=P(O)(O)OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
NC(N)=NCCC[C@H](N)C(=O)O
O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
COC1=CC(=O)C=C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)C1=O
[Mn+]
CCO
O=C(O)C1=CC(=O)[C@@H](O)[C@H](O)C1
O=C(O)CC(=O)C(=O)O
O=C(O)CC(O)(CC(=O)O)C(=O)O
C[C@H](N)C(=O)O
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1
N[C@@H](Cc1ccccc1)C(=O)O
O=C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
NC(CP(=O)(O)O)C(=O)O
O=CC[C@H](O)[C@H](O)COP(=O)(O)O
Cc1ncsc1CCO
O=C(O)c1cccnc1
Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1
C[C@@H]1NC(=O)N[C@@H]1CCCCCC(=O)O
[NH3+][C@H](CCC[C@H]([NH3+])C(=O)O)C(=O)O
O=C(O)C1=N[C@H](C(=O)O)CC=C1
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=C(C)C(=O)c2ccccc2C1=O
C[N+](C)(C)CC(O)CC(=O)O
CCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
O=C(CO)[C@@H](O)[C@@H](O)COP(=O)(O)O
O=C(COP(=O)(O)O)[C@@H](O)[C@H](O)[C@H](O)CO
O=c1[nH]c(=O)c2[nH]cnc2[nH]1
NC(=O)C[C@H](N)C(=O)O
O=C(CO)[C@@H](O)[C@H](O)COP(=O)(O)O
O=P(O)(O)OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O
C=C(O[C@@H]1C=C(C(=O)O)C=C[C@H]1O)C(=O)O
O=S(=O)([O-])O
[NH3+][C@@H](CCC[C@H]([NH3+])C(=O)O)C(=O)O
O=C(O)Nc1cncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
C=CC1=C(C)c2cc3[n-]c(cc4[n-]c(cc5nc(cc1n2)C(C)=C5C=C)c(C)c4CCC(=O)O)c(CCC(=O)O)c3C
Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O2)c(=O)n1
Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O
O=C(O)C(=O)Cc1ccc(O)cc1
CSCCC(=O)C(=O)O
N[C@H](CCC(=O)O)C(=O)O
Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H](O)CO)[C@@H](O)[C@H]2O)c(=O)n1
OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])[O-]
O=c1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1
O=C(O)[C@@H](CO)OP(=O)(O)O
C=Cc1c(C)c2cc3[nH]c(cc4nc(cc5nc(cc1[nH]2)C(C)=C5CCC(=O)O)C(CCC(=O)O)=C4C)c(C)c3C=C
O=C(O)CCc1c2[nH]c(c1CC(=O)O)Cc1[nH]c(c(CC(=O)O)c1CCC(=O)O)Cc1[nH]c(c(CC(=O)O)c1CCC(=O)O)Cc1[nH]c(c(CCC(=O)O)c1CC(=O)O)C2
Nc1ccccc1C(=O)O
CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@H](O)[C@@H]1O
O=O
CO
